AssetPath,SourceMB,EstimatedPVRTC_MB,ReductionPercent,ImporterType,UsesAlpha,Classification,PSP2_EffectiveMax,UserTargetMax,PSP2_OutputMax,OriginalFormat,TargetFormat,MipmapsOriginal,MipmapsTarget,ForcedOverride,WillChange
Texture/Foliage/MOAR Packed/Oak_Tree_Bark_MOAR.tga,0.011,0.002,82.3,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Items/Albedo/BatMedKey.tga,0.006,0.002,65.9,Image,TRUE,Color,64,1024,64,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/White_Shed_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/WhiteShed.tga,1.334,0.500,62.5,Image,TRUE,Color,1024,1024,1024,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Items/MOAR Packed/Flashlight_Metal_MOAR.tga,0.011,0.002,82.4,Image,TRUE,Color,64,1024,64,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Items/Albedo/Flashlight_Albedo.tga,0.006,0.001,83.3,Image,FALSE,Color,64,1024,64,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/JapaneseMaple_Foliage_MOAR.tga,0.042,0.008,81.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/JapaneseMaple_Foliage.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/Maple_Tree_Bark_MOAR.tga,0.011,0.002,82.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/MapleBark.png,0.021,0.008,63.7,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/MapleBush_Foliage_MOAR.tga,0.042,0.008,81.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/MapleBush_Foliage.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/Maple_Bark_MOAR.tga,0.011,0.002,82.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/MountainMapleBark.png,0.021,0.004,81.8,Image,FALSE,Color,256,1024,256,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Foliage/Sparse_Distant_Forest_Wide.tga,1.000,0.250,75.0,Image,TRUE,Color,1024,1024,1024,DXT5,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/Player/Michael/Skin_MOAR.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Skin_Albedo.tga,0.084,0.031,62.7,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/221 National/MOAR/Trims_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/221 National/Albedo/Trims.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/221 National/MOAR/Exterior_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/221 National/Albedo/Exterior.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Roads/MOAR/90DegTurn_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Roads/Albedo/90DegTurn.png,0.334,0.125,62.6,Image,TRUE,Color,512,1024,512,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/Brown_Elm_Foliage_MOAR.tga,0.042,0.008,81.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Misc_Ext.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/Elm_Tree_Bark_MOAR.tga,0.011,0.002,82.3,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Misc_Outdoor_Props_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/ToolShed_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Toolshed.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Foliage/Distant_Forest_Wide.tga,1.000,0.250,75.0,Image,TRUE,Color,1024,1024,1024,DXT5,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/Player/Michael/Hair_Albedo.png,0.021,0.008,63.4,Image,TRUE,Color,128,1024,128,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/AmericanElmBark.png,0.021,0.004,81.7,Image,FALSE,Color,256,1024,256,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/Brown_Elm_Foliage.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Roads/Albedo/Road_Junction.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Roads/MOAR/Road_Junction_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Items/MOAR Packed/BatMedKey_MOAR.tga,0.011,0.002,82.2,Image,TRUE,Color,64,1024,64,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Hair_NM_MOAR.tga,0.042,0.008,81.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Cookies/Flashlight_Cookie.png,0.042,0.008,81.5,Cookie,TRUE,Color,128,1024,128,Alpha8,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Game UI/Menus/Gamma_Image.png,0.042,0.016,63.0,Image,TRUE,Color,2048,1024,1024,Automatic,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Game UI/Menus/Menu_Frame.png,0.334,0.063,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Decals/MOAR_Map/Road_Damage_Decal_Sheet_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Decals/Albedo/Water_Gutter_Decal.png,0.042,0.016,63.0,Sprite,TRUE,UI,512,1024,512,DXT1,PVRTC_RGBA4,TRUE,FALSE,UI,TRUE
Texture/Decals/MOAR_Map/Water_Gutter_MOAR.tga,0.022,0.004,81.9,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Decals/MOAR_Map/Puddle_Test_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Decals/Albedo/Puddle_Test_Decal.png,0.334,0.125,62.6,Sprite,TRUE,UI,512,1024,512,DXT1,PVRTC_RGBA4,TRUE,FALSE,UI,TRUE
Texture/Decals/Albedo/Road_Damage_Decal_Sheet.png,0.334,0.125,62.6,Sprite,TRUE,UI,512,1024,512,DXT1,PVRTC_RGBA4,TRUE,FALSE,UI,TRUE
Texture/Game UI/Control_Screen.png,0.500,0.125,75.0,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/Game UI/Light_Flare.tga,0.032,0.008,75.4,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/Player/Michael/Body_Albedo.png,0.084,0.031,62.7,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Body_Damaged_Albedo.png,0.084,0.031,62.7,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Body_MOAR.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Roads/Albedo/Road.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Roads/MOAR/Road_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Lawn.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Ground_MOAR.tga,0.500,0.125,75.0,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/Foliage/Albedo/RedOak_Foliage.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/MOAR Packed/RedOak_Foliage_MOAR.tga,0.042,0.008,81.5,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Albedo/RedOakBark.tga,0.021,0.008,63.5,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Front_Trims_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/MOAR/Foundation_Front_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Ivy_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Normal/Toolshed_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Albedo/Trim_Front.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Ivy.tga,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Foundation_Front_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Back_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Foundation_Rear_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/221 National/Normal/Exterior_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,PVRTC_RGB4,PVRTC_RGB4,TRUE,TRUE,NormalMap,FALSE
Texture/SchoolHouse/Normal/WhiteShed_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
